Distance	k	Performance
EuclideanDistance	1.0	0.9305555555555556
EuclideanDistance	2.0	0.948051948051948
EuclideanDistance	3.0	0.9452054794520548
EuclideanDistance	4.0	0.9333333333333333
EuclideanDistance	5.0	0.9493670886075949
EuclideanDistance	6.0	0.9733333333333334
EuclideanDistance	7.0	0.958904109589041
EuclideanDistance	8.0	0.8783783783783784
EuclideanDistance	9.0	0.9594594594594594
EuclideanDistance	10.0	0.9402985074626866
EuclideanDistance	11.0	0.9857142857142858
EuclideanDistance	12.0	0.9295774647887324
EuclideanDistance	13.0	0.9333333333333333
EuclideanDistance	14.0	0.9113924050632911
EuclideanDistance	15.0	0.9117647058823529
EuclideanDistance	16.0	0.9577464788732394
EuclideanDistance	17.0	0.927536231884058
EuclideanDistance	18.0	0.8860759493670886
EuclideanDistance	19.0	0.9473684210526315
EuclideanDistance	20.0	0.9324324324324325
EuclideanDistance	21.0	0.9420289855072463
EuclideanDistance	22.0	0.8904109589041096
EuclideanDistance	23.0	0.875
EuclideanDistance	24.0	0.8974358974358975
EuclideanDistance	25.0	0.9620253164556962
EuclideanDistance	26.0	0.8734177215189873
EuclideanDistance	27.0	0.9305555555555556
EuclideanDistance	28.0	0.8591549295774648
EuclideanDistance	29.0	0.922077922077922
EuclideanDistance	30.0	0.9066666666666666
EuclideanDistance	31.0	0.9428571428571428
EuclideanDistance	32.0	0.9264705882352942
EuclideanDistance	33.0	0.8904109589041096
EuclideanDistance	34.0	0.8933333333333333
EuclideanDistance	35.0	0.8860759493670886
EuclideanDistance	36.0	0.9078947368421053
EuclideanDistance	37.0	0.75
EuclideanDistance	38.0	0.918918918918919
EuclideanDistance	39.0	0.88
EuclideanDistance	40.0	0.9166666666666666
EuclideanDistance	41.0	0.9066666666666666
EuclideanDistance	42.0	0.863013698630137
EuclideanDistance	43.0	0.9102564102564102
EuclideanDistance	44.0	0.821917808219178
EuclideanDistance	45.0	0.8169014084507042
EuclideanDistance	46.0	0.8356164383561644
EuclideanDistance	47.0	0.875
EuclideanDistance	48.0	0.8933333333333333
EuclideanDistance	49.0	0.9130434782608695
EuclideanDistance	50.0	0.48717948717948717
ManhattanDistance	1.0	0.9466666666666667
ManhattanDistance	2.0	0.9583333333333334
ManhattanDistance	3.0	0.9565217391304348
ManhattanDistance	4.0	0.9420289855072463
ManhattanDistance	5.0	0.9375
ManhattanDistance	6.0	0.9436619718309859
ManhattanDistance	7.0	0.9615384615384616
ManhattanDistance	8.0	0.9420289855072463
ManhattanDistance	9.0	0.9583333333333334
ManhattanDistance	10.0	0.9102564102564102
ManhattanDistance	11.0	0.9571428571428572
ManhattanDistance	12.0	0.8987341772151899
ManhattanDistance	13.0	0.9701492537313433
ManhattanDistance	14.0	0.9358974358974359
ManhattanDistance	15.0	0.9615384615384616
ManhattanDistance	16.0	0.9076923076923077
ManhattanDistance	17.0	0.9041095890410958
ManhattanDistance	18.0	0.961038961038961
ManhattanDistance	19.0	0.9305555555555556
ManhattanDistance	20.0	0.9315068493150684
ManhattanDistance	21.0	0.9342105263157895
ManhattanDistance	22.0	0.9102564102564102
ManhattanDistance	23.0	0.9315068493150684
ManhattanDistance	24.0	0.9473684210526315
ManhattanDistance	25.0	0.9402985074626866
ManhattanDistance	26.0	0.9452054794520548
ManhattanDistance	27.0	0.863013698630137
ManhattanDistance	28.0	0.9285714285714286
ManhattanDistance	29.0	0.9066666666666666
ManhattanDistance	30.0	0.8918918918918919
ManhattanDistance	31.0	0.9404761904761905
ManhattanDistance	32.0	0.8529411764705882
ManhattanDistance	33.0	0.9295774647887324
ManhattanDistance	34.0	0.96
ManhattanDistance	35.0	0.96
ManhattanDistance	36.0	0.8873239436619719
ManhattanDistance	37.0	0.9295774647887324
ManhattanDistance	38.0	0.9583333333333334
ManhattanDistance	39.0	0.8611111111111112
ManhattanDistance	40.0	0.8904109589041096
ManhattanDistance	41.0	0.9305555555555556
ManhattanDistance	42.0	0.9178082191780822
ManhattanDistance	43.0	0.8717948717948718
ManhattanDistance	44.0	0.9466666666666667
ManhattanDistance	45.0	0.9113924050632911
ManhattanDistance	46.0	0.8970588235294118
ManhattanDistance	47.0	0.8831168831168831
ManhattanDistance	48.0	0.76
ManhattanDistance	49.0	0.8405797101449275
ManhattanDistance	50.0	0.8266666666666667
ChebychevDistance	1.0	0.9436619718309859
ChebychevDistance	2.0	0.9436619718309859
ChebychevDistance	3.0	0.8450704225352113
ChebychevDistance	4.0	0.9054054054054054
ChebychevDistance	5.0	0.8311688311688312
ChebychevDistance	6.0	0.9178082191780822
ChebychevDistance	7.0	0.9166666666666666
ChebychevDistance	8.0	0.8857142857142857
ChebychevDistance	9.0	0.9466666666666667
ChebychevDistance	10.0	0.9230769230769231
ChebychevDistance	11.0	0.9577464788732394
ChebychevDistance	12.0	0.881578947368421
ChebychevDistance	13.0	0.9411764705882353
ChebychevDistance	14.0	0.9583333333333334
ChebychevDistance	15.0	0.9230769230769231
ChebychevDistance	16.0	0.881578947368421
ChebychevDistance	17.0	0.9367088607594937
ChebychevDistance	18.0	0.9014084507042254
ChebychevDistance	19.0	0.8947368421052632
ChebychevDistance	20.0	0.8714285714285714
ChebychevDistance	21.0	0.9166666666666666
ChebychevDistance	22.0	0.8625
ChebychevDistance	23.0	0.8611111111111112
ChebychevDistance	24.0	0.8780487804878049
ChebychevDistance	25.0	0.7857142857142857
ChebychevDistance	26.0	0.6666666666666666
ChebychevDistance	27.0	0.9166666666666666
ChebychevDistance	28.0	0.875
ChebychevDistance	29.0	0.8947368421052632
ChebychevDistance	30.0	0.8904109589041096
ChebychevDistance	31.0	0.8611111111111112
ChebychevDistance	32.0	0.84
ChebychevDistance	33.0	0.8611111111111112
ChebychevDistance	34.0	0.7941176470588235
ChebychevDistance	35.0	0.9342105263157895
ChebychevDistance	36.0	0.8823529411764706
ChebychevDistance	37.0	0.8513513513513513
ChebychevDistance	38.0	0.8235294117647058
ChebychevDistance	39.0	0.8493150684931506
ChebychevDistance	40.0	0.8571428571428571
ChebychevDistance	41.0	0.8
ChebychevDistance	42.0	0.855072463768116
ChebychevDistance	43.0	0.7307692307692307
ChebychevDistance	44.0	0.8311688311688312
ChebychevDistance	45.0	0.8378378378378378
