Distance	k	Performance
EuclideanDistance	1.0	0.8640776699029126
EuclideanDistance	2.0	0.8058252427184466
EuclideanDistance	3.0	0.8113207547169812
EuclideanDistance	4.0	0.83
EuclideanDistance	5.0	0.8
EuclideanDistance	6.0	0.7608695652173914
EuclideanDistance	7.0	0.7096774193548387
EuclideanDistance	8.0	0.7549019607843137
EuclideanDistance	9.0	0.71875
EuclideanDistance	10.0	0.780952380952381
EuclideanDistance	11.0	0.6923076923076923
EuclideanDistance	12.0	0.76
EuclideanDistance	13.0	0.69
EuclideanDistance	14.0	0.6770833333333334
EuclideanDistance	15.0	0.7264150943396226
EuclideanDistance	16.0	0.79
EuclideanDistance	17.0	0.7358490566037735
EuclideanDistance	18.0	0.7872340425531915
EuclideanDistance	19.0	0.6568627450980392
EuclideanDistance	20.0	0.7058823529411765
EuclideanDistance	21.0	0.6862745098039216
EuclideanDistance	22.0	0.7572815533980582
EuclideanDistance	23.0	0.67
EuclideanDistance	24.0	0.6336633663366337
EuclideanDistance	25.0	0.6363636363636364
EuclideanDistance	26.0	0.7373737373737373
EuclideanDistance	27.0	0.6019417475728155
EuclideanDistance	28.0	0.7352941176470589
EuclideanDistance	29.0	0.5238095238095238
EuclideanDistance	30.0	0.5833333333333334
EuclideanDistance	31.0	0.6285714285714286
EuclideanDistance	32.0	0.7289719626168224
EuclideanDistance	33.0	0.7452830188679245
EuclideanDistance	34.0	0.7272727272727273
EuclideanDistance	35.0	0.76
EuclideanDistance	36.0	0.6
EuclideanDistance	37.0	0.6981132075471698
EuclideanDistance	38.0	0.7870370370370371
EuclideanDistance	39.0	0.7425742574257426
EuclideanDistance	40.0	0.7663551401869159
EuclideanDistance	41.0	0.6274509803921569
EuclideanDistance	42.0	0.5480769230769231
EuclideanDistance	43.0	0.6699029126213593
EuclideanDistance	44.0	0.5961538461538461
EuclideanDistance	45.0	0.5384615384615384
EuclideanDistance	46.0	0.6831683168316832
EuclideanDistance	47.0	0.6770833333333334
EuclideanDistance	48.0	0.7010309278350515
