Distance	k	Performance
EuclideanDistance	1.0	0.8489795918367347
EuclideanDistance	2.0	0.8518518518518519
EuclideanDistance	3.0	0.8360655737704918
EuclideanDistance	4.0	0.83399209486166
EuclideanDistance	5.0	0.8518518518518519
EuclideanDistance	6.0	0.8702928870292888
EuclideanDistance	7.0	0.9038461538461539
EuclideanDistance	8.0	0.889763779527559
EuclideanDistance	9.0	0.8601694915254238
EuclideanDistance	10.0	0.8801652892561983
EuclideanDistance	11.0	0.864
EuclideanDistance	12.0	0.8938775510204081
EuclideanDistance	13.0	0.8866396761133604
EuclideanDistance	14.0	0.8656126482213439
EuclideanDistance	15.0	0.8554216867469879
EuclideanDistance	16.0	0.8661087866108786
EuclideanDistance	17.0	0.8857142857142857
EuclideanDistance	18.0	0.8755186721991701
EuclideanDistance	19.0	0.8225806451612904
EuclideanDistance	20.0	0.8429752066115702
EuclideanDistance	21.0	0.8979591836734694
EuclideanDistance	22.0	0.9079497907949791
EuclideanDistance	23.0	0.907258064516129
EuclideanDistance	24.0	0.8775510204081632
EuclideanDistance	25.0	0.8554216867469879
EuclideanDistance	26.0	0.9098360655737705
EuclideanDistance	27.0	0.907563025210084
EuclideanDistance	28.0	0.8870292887029289
EuclideanDistance	29.0	0.899581589958159
EuclideanDistance	30.0	0.8911290322580645
EuclideanDistance	31.0	0.9206349206349206
EuclideanDistance	32.0	0.8653061224489796
EuclideanDistance	33.0	0.8436213991769548
EuclideanDistance	34.0	0.8481012658227848
EuclideanDistance	35.0	0.9128630705394191
EuclideanDistance	36.0	0.9083969465648855
EuclideanDistance	37.0	0.9017094017094017
EuclideanDistance	38.0	0.8775510204081632
EuclideanDistance	39.0	0.9135802469135802
EuclideanDistance	40.0	0.8949579831932774
EuclideanDistance	41.0	0.9024390243902439
EuclideanDistance	42.0	0.921161825726141
EuclideanDistance	43.0	0.8588709677419355
EuclideanDistance	44.0	0.896
EuclideanDistance	45.0	0.85
EuclideanDistance	46.0	0.8571428571428571
EuclideanDistance	47.0	0.87109375
EuclideanDistance	48.0	0.9057377049180327
EuclideanDistance	49.0	0.902542372881356
EuclideanDistance	50.0	0.9083333333333333
ManhattanDistance	1.0	0.8087649402390438
ManhattanDistance	2.0	0.8483606557377049
ManhattanDistance	3.0	0.8346774193548387
ManhattanDistance	4.0	0.8548387096774194
ManhattanDistance	5.0	0.8728070175438597
ManhattanDistance	6.0	0.8825910931174089
ManhattanDistance	7.0	0.8571428571428571
ManhattanDistance	8.0	0.8934426229508197
ManhattanDistance	9.0	0.8828451882845189
ManhattanDistance	10.0	0.899581589958159
ManhattanDistance	11.0	0.8875502008032129
ManhattanDistance	12.0	0.8924302788844621
ManhattanDistance	13.0	0.8925619834710744
ManhattanDistance	14.0	0.884
ManhattanDistance	15.0	0.8875502008032129
ManhattanDistance	16.0	0.921161825726141
ManhattanDistance	17.0	0.8902439024390244
ManhattanDistance	18.0	0.8764940239043825
ManhattanDistance	19.0	0.8764940239043825
ManhattanDistance	20.0	0.8688524590163934
ManhattanDistance	21.0	0.9294605809128631
ManhattanDistance	22.0	0.8871595330739299
ManhattanDistance	23.0	0.8677685950413223
ManhattanDistance	24.0	0.8888888888888888
ManhattanDistance	25.0	0.8870967741935484
ManhattanDistance	26.0	0.8835341365461847
ManhattanDistance	27.0	0.8744769874476988
ManhattanDistance	28.0	0.9230769230769231
ManhattanDistance	29.0	0.890295358649789
ManhattanDistance	30.0	0.8902439024390244
ManhattanDistance	31.0	0.8918918918918919
ManhattanDistance	32.0	0.8888888888888888
ManhattanDistance	33.0	0.8814229249011858
ManhattanDistance	34.0	0.9227642276422764
ManhattanDistance	35.0	0.8996138996138996
ManhattanDistance	36.0	0.8875
ManhattanDistance	37.0	0.82421875
ManhattanDistance	38.0	0.9186991869918699
ManhattanDistance	39.0	0.8693877551020408
ManhattanDistance	40.0	0.8932806324110671
ManhattanDistance	41.0	0.868
ManhattanDistance	42.0	0.8923076923076924
ManhattanDistance	43.0	0.8612244897959184
ManhattanDistance	44.0	0.902127659574468
ManhattanDistance	45.0	0.8825910931174089
ManhattanDistance	46.0	0.9604743083003953
ManhattanDistance	47.0	0.9354838709677419
ManhattanDistance	48.0	0.9153225806451613
ManhattanDistance	49.0	0.8443579766536965
ManhattanDistance	50.0	0.9214876033057852
