Generace Cas Fitness
1 289.0 -1304.0
2 431.0 -1301.0
3 659.0 -1299.0
4 817.0 -1294.0
6 1200.0 -1293.0
7 1370.0 -1292.0
8 1549.0 -1290.0
9 1709.0 -1288.0
10 1867.0 -1287.0
11 2070.0 -1286.0
12 2238.0 -1285.0
14 2571.0 -1284.0
15 2769.0 -1283.0
16 2939.0 -1282.0
18 3281.0 -1280.0
20 3642.0 -1279.0
25 4529.0 -1278.0
27 4881.0 -1277.0
47 8476.0 -1276.0
64 11553.0 -1275.0
74 13599.0 -1274.0
110 21111.0 -1273.0
123 23810.0 -1272.0
147 28604.0 -1271.0
171 33005.0 -1270.0
420 85288.0 -1269.0
776 163888.0 -1268.0
1102 236848.0 -1267.0
